,age,job,education,default,balance,housing,loan,y
127,45,3,2,0,3601,1,0,0
128,58,2,1,0,5914,0,0,0
129,26,4,3,0,617,0,0,0
130,51,3,2,0,1113,0,1,0
131,48,2,3,0,13501,0,0,0
132,44,2,3,0,5773,0,0,1
133,45,7,1,0,749,1,0,0
134,56,4,4,0,789,1,0,0
135,34,4,2,0,444,1,0,0
136,29,2,3,0,5698,0,0,0
137,34,3,2,0,1076,0,0,0
138,41,7,1,0,33,1,1,0
139,30,5,3,0,81,0,0,1
140,50,2,3,0,67,0,1,0
141,32,5,2,0,-509,1,0,0
142,39,4,2,0,782,1,0,0
143,57,10,2,0,4969,0,0,0
144,60,8,3,0,3461,0,0,0
145,55,8,2,0,138,0,0,0
146,27,3,2,0,241,0,1,0
147,59,4,2,0,0,1,0,1
148,30,7,2,0,1073,1,0,0
149,49,3,3,0,1071,0,0,1
150,29,5,1,0,-102,0,0,0
151,38,4,2,0,-23,0,0,0
152,36,7,2,0,537,0,0,0
153,31,5,2,0,-327,1,0,0
154,49,5,2,0,199,1,0,0
155,31,9,2,0,500,1,0,0
156,44,3,2,0,10888,1,0,0
157,42,3,2,0,1689,1,0,0
158,54,7,2,0,153,0,0,0
159,49,6,3,0,271,1,0,0
160,52,5,2,0,10021,0,0,0
161,37,7,2,0,771,1,0,0
162,42,2,2,0,43,1,0,0
163,39,5,2,0,2453,0,0,0
164,29,3,1,0,1761,1,0,0
165,42,2,3,0,0,1,0,0
166,48,2,4,0,1009,1,0,0
167,37,7,2,0,847,0,0,0
168,39,9,2,0,1309,1,0,0
169,36,7,2,1,0,0,1,0
170,74,8,1,0,2308,0,0,0
171,44,7,1,0,2135,0,0,0
172,47,3,2,0,1233,1,0,1
173,55,4,2,0,356,0,0,0
174,33,10,1,0,1713,1,0,0
175,31,4,2,0,523,0,1,0
176,42,7,1,0,1017,1,0,0
177,56,3,3,0,12539,0,0,0
178,34,3,2,0,89,1,0,0
179,59,3,2,0,371,1,0,0
180,34,2,3,0,72,1,0,0
181,34,2,3,0,5973,1,0,0
182,32,3,2,0,17,0,0,0
183,34,4,3,0,262,1,0,0
184,45,5,2,0,0,1,1,0
185,35,7,2,0,1055,0,0,1
186,51,7,2,0,-92,1,0,0
187,35,2,3,0,2015,0,0,0
188,36,2,2,0,339,1,0,0
189,32,7,4,0,1267,1,0,0
190,58,2,3,0,591,1,0,0
191,34,5,2,0,0,1,0,0
192,30,5,2,0,311,1,0,0
193,35,7,2,0,205,1,1,1
194,52,7,1,0,4711,1,0,0
195,55,5,2,0,72,1,1,0
196,33,5,2,0,44,0,1,1
197,31,2,3,0,6290,0,0,0
198,49,2,3,0,1887,0,0,0
199,30,7,2,0,486,1,0,1
200,55,7,1,0,1649,1,0,0
201,47,7,1,0,799,0,0,0
202,40,3,2,0,503,1,0,0
203,41,3,2,0,871,1,0,0
204,33,4,2,0,745,1,0,0
205,49,2,3,0,85,1,0,1
206,30,7,2,0,0,1,0,0
207,37,3,2,0,28,0,0,0
208,46,2,3,0,225,1,0,0
209,29,7,2,0,321,1,1,0
210,30,5,2,0,129,1,0,1
211,30,1,2,0,392,1,0,0
212,42,10,3,0,-560,1,1,0
213,57,3,2,0,3043,0,0,1
214,54,2,3,0,3473,1,0,0
215,32,3,2,0,5122,0,0,0
216,38,3,2,0,50,0,0,0
217,31,4,2,0,150,1,1,0
218,41,2,2,0,0,0,0,0
219,28,4,2,0,-39,0,1,0
220,43,3,2,0,-260,1,0,0
221,53,3,2,0,65,0,0,0
222,32,7,2,0,95,1,0,0
223,59,8,2,0,5219,0,0,0
224,54,8,2,0,10621,0,0,0
225,51,1,3,0,6659,1,1,0
226,31,4,2,0,-133,1,0,0
227,55,3,2,0,10185,0,0,0
228,36,4,3,0,3221,0,0,1
229,30,7,2,0,12697,1,1,0
230,50,4,2,0,1906,0,0,0
231,52,2,3,0,437,0,0,0
232,55,8,3,0,357,1,0,0
233,55,4,2,0,994,0,0,0
234,32,3,2,0,175,1,0,0
235,36,9,3,0,4145,0,0,1
236,29,4,2,0,43,1,0,0
237,45,3,2,0,1441,1,0,0
238,27,10,2,1,-319,0,1,0
239,46,7,1,0,1483,1,0,0
240,31,2,3,0,1130,1,0,0
241,34,3,2,0,1313,0,0,0
242,38,7,1,0,490,1,1,0
243,47,3,2,0,1059,1,0,0
244,62,8,2,0,569,0,0,1
245,51,7,2,0,22,1,0,0
246,32,2,3,0,2846,1,0,0
247,40,7,2,0,280,1,0,0
248,38,7,1,0,1401,0,0,1
249,35,2,3,0,1618,1,1,1
250,53,8,2,0,1300,0,0,0
251,30,5,2,0,438,1,0,0
252,31,2,3,0,527,1,1,0
253,30,11,3,0,2539,0,0,1
254,38,7,4,0,5338,0,0,0
255,34,9,3,0,10,0,0,0
256,33,4,2,0,0,1,0,0
257,58,8,3,0,0,0,0,0
258,29,2,3,0,415,1,1,0
259,56,3,2,0,589,1,0,1
260,40,7,2,0,125,1,0,0
261,36,7,2,0,13,0,0,0
262,33,4,3,0,69,0,1,0
263,50,9,3,0,377,0,0,0
264,51,3,2,0,313,0,1,0
265,31,6,3,0,3,1,0,0
266,30,7,2,0,4,0,0,0
267,59,8,3,0,1637,0,1,0
268,28,2,3,0,788,1,1,0
269,40,7,2,0,-450,1,0,0
270,33,1,2,0,2,1,1,0
271,59,10,4,0,873,1,0,0
272,57,8,2,0,0,0,1,0
273,32,2,3,0,1232,0,0,0
274,50,3,2,0,1303,0,0,0
275,33,4,2,0,4902,1,0,0
276,28,3,2,0,981,1,0,0
277,30,2,3,0,520,1,0,0
278,51,2,3,0,1854,1,1,0
279,58,8,1,0,4158,0,0,1
280,32,3,3,0,168,0,0,0
281,51,8,3,0,746,0,0,1
282,44,3,2,0,314,1,0,0
283,40,3,3,0,445,1,0,0
284,34,6,3,0,589,1,0,0
285,36,2,3,0,46,0,0,0
286,58,2,3,0,299,0,0,0
287,41,7,2,0,356,1,0,0
288,31,3,2,0,660,0,0,0
289,41,4,2,0,110,1,1,0
290,28,9,3,0,497,1,0,1
291,49,6,2,0,-478,1,1,0
292,53,2,3,0,20772,0,0,0
293,57,4,2,0,7,1,0,0
294,29,4,2,0,-349,1,0,0
295,37,2,3,0,7612,0,0,0
296,39,4,2,0,782,1,0,0
297,33,3,2,0,374,1,1,0
298,34,7,2,0,1988,1,0,0
299,36,6,3,0,258,0,0,0
300,38,4,2,0,137,1,0,0
301,39,2,3,0,271,1,0,0
302,48,8,1,0,666,1,0,0
303,33,3,2,1,10,1,1,0
304,55,2,3,0,154,0,0,0
305,45,5,1,0,137,1,0,0
306,34,2,3,0,2640,1,0,0
307,41,7,2,0,2689,1,0,1
308,43,7,1,0,3064,1,0,1
309,31,3,2,0,303,1,0,0
310,31,5,2,0,395,0,0,0
311,31,2,3,0,303,1,0,0
312,40,7,2,0,-333,1,0,0
313,50,3,2,0,1541,1,0,0
314,32,1,3,0,964,1,0,0
315,42,7,1,0,480,1,0,0
316,52,2,3,0,163,0,0,0
317,40,4,3,0,764,1,0,1
318,31,3,3,0,44,0,0,0
319,45,3,2,0,376,0,1,0
320,33,5,2,0,610,0,1,0
321,41,5,2,0,-700,0,1,0
322,48,7,2,0,0,0,0,0
323,31,4,2,0,358,1,0,0
324,45,7,2,0,751,0,0,0
325,28,2,3,0,682,1,0,0
326,34,7,2,0,1221,1,0,0
327,51,1,3,1,15,0,0,0
328,52,2,3,0,40,0,0,1
329,28,11,2,0,0,0,0,1
330,37,5,2,0,148,0,1,0
331,33,1,1,0,596,0,1,0
332,38,3,2,0,740,0,0,0
333,39,2,3,0,9541,0,0,0
334,50,7,1,0,377,1,0,0
335,39,4,2,0,676,1,0,0
336,49,12,4,0,301,0,0,0
337,55,3,2,0,61,1,1,0
338,30,3,3,0,2530,1,0,0
339,30,4,2,0,111,0,1,0
340,34,7,2,0,405,1,0,0
341,39,2,3,0,399,0,0,0
342,60,8,1,0,415,0,0,0
343,37,5,2,0,981,0,0,1
344,28,7,2,0,0,0,1,0
345,31,5,2,0,2083,1,0,0
346,53,4,3,1,6,0,0,0
347,60,8,2,0,-240,0,0,0
348,28,2,3,0,1240,0,0,1
349,44,2,3,0,347,1,1,0
350,34,3,3,0,-552,1,0,0
351,34,3,3,0,116,0,0,0
352,33,3,2,0,1064,1,0,0
353,37,7,1,0,1388,1,0,0
354,44,4,2,0,447,1,1,0
355,57,2,3,0,1602,0,0,0
356,37,2,3,0,808,0,0,0
357,55,4,2,0,602,0,0,1
358,52,6,2,0,9,0,1,0
359,32,7,2,0,320,1,0,0
360,49,7,1,0,-9,1,1,0
361,33,4,2,0,3160,0,0,0
362,47,7,1,0,0,0,0,0
363,57,3,3,0,96,0,0,1
364,30,7,2,0,0,1,0,0
365,47,7,2,0,1815,1,0,0
366,41,2,1,0,243,1,0,0
367,46,2,2,0,0,0,0,0
368,42,4,2,0,4253,1,0,0
369,43,1,2,0,104,1,0,1
370,41,7,2,0,13,1,0,0
371,52,4,1,0,2281,1,1,0
372,32,7,1,0,354,0,0,0
373,36,7,2,0,718,1,0,0
374,34,5,2,0,314,1,1,0
375,36,2,3,0,0,1,0,1
376,39,3,3,0,794,0,0,0
377,51,7,1,0,480,1,0,0
378,59,6,3,0,6237,1,0,0
379,32,3,2,0,260,1,0,0
380,32,9,2,0,314,1,0,0
381,58,3,2,0,3399,0,0,1
382,44,10,1,0,3706,0,0,0
383,37,9,2,0,830,0,0,0
384,28,4,4,0,174,0,0,0
385,26,7,1,0,172,1,0,0
386,36,7,1,0,214,0,0,0
387,41,2,3,0,1468,1,0,1
388,32,5,2,0,859,1,0,0
389,40,1,2,0,2998,1,0,1
390,31,1,2,0,937,1,0,0
391,47,7,1,0,570,0,0,0
392,37,2,3,0,1060,0,0,0
393,30,2,3,0,2419,0,1,0
394,40,4,2,0,4,0,0,0
395,46,4,2,0,1693,1,0,1
396,50,2,3,0,3191,0,0,0
397,38,3,3,0,5122,1,0,0
398,54,4,2,0,276,1,1,0
399,50,2,3,0,15442,0,0,0
400,32,7,1,0,206,1,0,0
401,46,1,1,0,829,0,1,0
402,39,3,2,0,27,1,0,0
403,52,5,2,0,2455,0,0,0
404,37,7,2,0,0,0,1,0
405,49,3,2,0,5996,0,0,0
406,29,4,2,0,-498,1,0,0
407,43,3,2,0,17,1,0,0
408,34,9,2,0,978,0,0,1
409,38,1,1,0,666,1,0,0
410,37,9,1,0,7005,1,0,0
411,37,7,1,0,120,1,0,0
412,38,7,1,0,-537,1,0,0
413,38,7,2,0,171,1,1,0
414,25,7,1,0,6,1,1,0
415,46,7,2,0,130,1,0,0
416,32,7,1,0,33,0,0,0
417,59,2,3,0,3368,0,0,0
418,41,3,3,0,177,1,0,0
419,29,5,2,0,84,0,1,1
420,26,3,3,0,172,0,1,0
421,33,2,3,0,437,1,0,0
422,31,3,3,0,-1,0,0,0
423,28,7,2,0,-114,1,0,0
424,39,7,1,0,3705,1,0,0
425,57,3,3,0,0,1,0,0
426,49,4,2,0,0,0,0,0
427,35,7,2,0,1257,1,0,0
428,41,5,2,0,5745,1,1,0
429,36,3,2,0,1832,1,0,0
430,49,3,3,0,523,1,0,0
431,26,5,2,0,187,1,0,0
432,25,5,2,0,-141,1,0,0
433,28,11,2,0,5916,0,0,0
434,38,4,2,0,623,1,1,0
435,33,2,3,0,377,1,0,0
436,60,8,2,0,781,1,1,0
437,55,2,3,0,481,1,0,0
438,45,4,2,0,-288,0,1,0
439,26,11,3,0,294,0,0,1
440,54,8,1,0,477,1,0,0
441,39,6,3,0,585,1,0,0
442,44,5,2,0,646,1,0,0
443,39,2,3,0,5495,1,0,0
444,35,3,2,0,3490,1,0,1
445,55,7,1,0,1086,1,0,0
446,34,3,2,0,0,1,0,0
447,29,2,3,0,68,1,0,0
448,48,7,1,0,134,1,0,0
449,26,2,3,0,775,0,0,0
450,54,10,1,0,284,0,0,0
451,37,2,3,0,0,1,1,0
452,35,9,3,0,415,0,0,1
453,36,4,2,0,953,1,0,0
454,56,7,1,0,313,0,0,0
455,52,6,3,0,2289,1,1,0
456,51,6,2,0,1377,0,0,0
457,33,2,3,0,1390,0,0,0
458,38,4,2,0,-33,0,0,0
459,49,2,4,0,0,0,0,0
460,53,7,2,0,3815,0,0,0
461,39,3,2,0,10236,0,0,0
462,28,4,3,0,4,0,0,0
463,57,5,2,0,668,1,1,0
464,59,10,2,0,0,0,0,0
465,30,2,3,0,1243,1,0,0
466,43,7,2,0,701,1,1,0
467,50,7,1,0,59,0,0,0
468,54,2,3,0,446,0,0,0
469,39,4,2,0,441,0,0,0
470,35,2,3,0,0,1,0,0
471,33,3,2,0,152,1,0,0
472,29,3,3,0,940,1,0,0
473,20,11,2,0,502,0,0,1
474,45,2,3,0,2532,0,0,0
475,35,7,2,0,635,1,0,0
476,55,6,2,0,12159,1,0,0
477,33,7,2,0,17,1,0,0
478,30,2,3,0,101,1,0,0
479,30,4,2,0,1309,0,0,1
480,46,3,2,0,1167,1,0,1
481,36,5,3,0,72,1,0,0
482,43,7,1,0,232,0,1,0
483,32,4,2,0,4344,1,0,0
484,50,5,2,0,1687,0,0,0
485,32,2,3,0,151,0,0,0
486,45,5,1,0,116,1,0,0
487,52,2,3,0,1545,0,0,0
488,29,9,3,0,0,1,1,0
489,42,2,3,0,270,1,0,0
490,45,2,3,0,1293,0,0,0
491,53,2,2,0,519,1,0,0
492,36,2,2,0,1898,1,0,0
493,31,7,2,0,1326,1,0,0
494,48,3,3,0,1036,1,1,0
495,51,3,2,0,337,1,0,0
496,39,10,1,0,13338,0,0,0
497,58,4,2,0,3927,0,0,0
498,51,2,3,0,6530,1,0,0
499,38,10,2,0,0,1,0,0
500,35,7,2,0,485,1,0,0
501,28,5,3,0,2474,1,0,0
502,50,1,1,0,1659,0,0,0
503,51,7,1,0,-380,1,0,0
504,29,6,3,0,16,1,0,0
505,53,5,2,0,139,1,0,0
506,37,7,2,0,395,1,0,0
507,80,8,2,0,2354,0,0,0
508,49,7,2,0,406,1,1,0
509,57,2,3,0,132,1,0,0
510,35,2,3,0,714,1,0,0
511,76,8,1,0,3324,0,0,1
512,36,7,2,0,866,1,0,0
513,52,2,3,0,291,0,0,0
514,58,7,2,0,1826,1,0,0
515,39,4,3,0,1022,1,1,0
516,32,9,2,0,199,1,0,0
517,45,3,2,0,1003,1,0,0
518,42,5,2,0,-193,1,0,0
519,51,4,3,0,0,1,1,1
520,51,3,2,0,39,0,0,0
521,44,9,2,0,0,1,0,1
522,30,2,2,0,3817,1,0,0
523,33,7,2,0,86,0,1,0
524,54,2,3,0,5927,0,0,0
525,40,5,2,0,687,1,0,1
526,28,5,2,0,-112,1,1,0
527,57,2,3,0,215,0,1,0
528,23,5,2,0,2211,1,0,0
529,46,3,2,0,1029,1,0,0
530,60,4,2,0,3916,0,0,0
531,33,2,3,0,131,1,0,1
532,63,8,2,0,0,0,0,0
533,32,4,3,0,1,1,1,0
534,28,4,2,0,22171,1,0,0
535,58,7,2,0,238,0,0,0
536,31,2,3,0,2137,0,0,0
537,31,9,2,0,86,1,1,1
538,37,7,1,0,5473,0,1,0
539,51,2,3,0,-79,1,0,0
540,44,10,1,0,-227,0,1,0
541,55,2,2,0,11743,1,0,0
542,46,7,1,0,6150,1,0,0
543,52,3,1,0,-50,1,0,0
544,59,2,3,0,3390,0,0,0
545,28,4,2,0,189,1,0,0
546,34,2,3,0,673,1,1,0
547,56,7,1,0,151,0,0,0
548,32,4,2,0,217,1,0,0
549,32,7,2,0,3514,1,0,0
550,52,7,2,0,0,0,1,0
551,31,4,2,0,457,1,0,0
552,31,3,2,0,550,1,1,0
553,32,7,2,0,-197,0,1,0
554,42,4,2,0,4209,1,0,0
555,48,2,3,0,1167,1,1,1
556,35,7,2,0,26,1,0,0
557,28,4,4,0,2736,0,0,1
558,50,7,2,0,418,0,1,0
559,43,2,3,0,690,1,0,0
560,26,5,2,0,1347,0,0,0
561,48,7,2,0,305,0,0,0
562,27,2,3,0,4909,0,1,0
563,35,2,3,0,0,0,1,0
564,38,4,2,0,18,0,0,0
565,37,7,2,0,1127,1,0,0
566,31,2,3,0,86,0,0,0
567,29,10,3,0,19,0,0,1
568,28,4,3,0,164,1,0,0
569,53,8,2,0,4968,0,0,0
570,40,3,2,0,0,0,0,1
571,39,3,2,0,102,1,0,0
572,32,7,1,0,100,1,0,0
573,33,2,3,0,3,1,0,0
574,33,2,3,0,0,0,0,0
575,41,2,2,0,280,1,0,0
576,43,7,1,0,75,1,0,0
577,35,7,2,0,-482,1,0,0
578,49,2,3,0,5613,0,0,0
579,34,3,2,0,-255,1,0,0
580,37,7,2,0,1818,1,0,0
581,29,2,3,0,314,1,0,0
582,35,2,3,0,805,0,0,0
583,39,4,2,0,3732,1,0,0
584,35,7,2,0,1454,1,0,0
585,55,10,1,0,4,0,0,0
586,36,4,2,0,9,1,0,0
587,26,11,2,0,1209,1,0,0
588,32,7,2,0,760,1,0,0
589,33,4,2,0,4713,0,0,0
590,36,6,3,0,4844,0,0,1
591,35,3,3,0,3552,0,0,0
592,31,2,3,0,4720,1,0,0
593,38,3,3,0,178,1,0,0
594,55,8,1,0,16432,0,0,0
595,51,5,4,0,6,1,0,0
596,47,3,2,0,335,0,0,1
597,30,2,3,0,451,0,0,0
598,43,9,3,0,0,0,0,1
599,30,2,3,0,77,0,0,0
600,37,7,2,0,194,1,0,0
601,31,2,3,0,607,0,0,0
602,50,4,2,0,-79,0,1,0
603,40,5,2,0,224,1,0,1
604,39,4,2,0,1965,1,0,0
605,36,3,2,0,310,0,0,0
606,47,3,2,0,-107,0,0,0
607,38,7,2,0,97,1,0,0
608,33,3,3,0,8023,0,0,0
609,31,2,3,0,-173,1,0,0
610,37,10,2,0,285,0,0,0
611,38,4,2,0,-650,0,0,0
612,71,8,1,0,3230,0,0,1
613,44,2,3,0,-61,0,0,0
614,50,7,2,0,84,1,0,0
615,37,3,2,0,183,1,0,0
616,34,4,2,0,560,1,0,0
617,57,2,2,0,570,0,0,0
618,52,3,2,0,2816,0,0,0
619,28,7,2,0,64,1,0,0
620,40,7,2,0,217,1,0,0
621,31,7,2,0,186,1,0,0
622,22,11,1,0,423,0,0,1
623,64,8,2,0,588,0,0,1
624,38,4,2,0,-14,0,1,0
625,29,11,3,0,185,1,0,0
626,38,3,2,0,2767,1,0,0
627,45,7,2,0,607,1,0,0
628,44,7,1,0,582,0,0,0
629,35,2,3,0,2885,0,0,1
630,39,3,2,0,9121,0,0,0
631,47,3,2,0,232,1,0,0
632,29,7,1,0,236,1,0,0
633,52,4,2,0,2323,1,0,0
634,30,7,1,0,5641,0,0,0
635,38,1,2,0,2543,0,0,1
636,45,2,3,0,0,0,0,0
637,48,1,2,0,0,1,0,0
638,25,11,4,0,10788,0,0,0
639,55,1,3,0,78,0,0,0
640,35,2,4,0,121,1,0,0
641,38,3,3,0,34,0,1,0
642,31,3,2,0,388,0,0,0
643,39,4,2,0,113,1,0,0
644,32,2,3,0,169,0,0,1
645,35,2,3,0,-202,1,0,0
646,54,3,2,0,472,1,1,0
647,30,4,2,0,55,1,0,0
648,59,3,2,0,925,1,0,0
649,43,4,2,0,243,1,0,0
650,29,7,1,0,190,0,0,0
651,57,4,2,0,11,0,0,0
652,38,1,3,1,0,1,0,0
653,42,3,3,0,2611,1,0,1
654,23,4,2,0,366,0,0,0
655,22,11,2,0,364,1,0,0
656,28,7,2,0,0,1,0,0
657,36,3,2,0,494,1,0,0
658,26,6,3,0,174,1,0,0
659,52,2,3,0,1319,1,0,0
660,50,10,2,0,388,0,0,1
661,33,2,3,0,372,1,1,0
662,35,3,2,0,482,0,0,0
663,48,5,2,0,35,0,0,0
664,42,7,2,0,0,0,0,0
665,48,6,2,0,4746,1,0,0
666,43,5,2,0,978,1,1,0
667,52,2,3,0,1205,0,0,0
668,33,2,3,0,109,0,0,0
669,54,12,3,0,10,0,0,0
670,36,4,2,0,0,0,0,0
671,52,7,2,0,289,1,0,0
672,49,2,3,0,5969,0,0,0
673,53,4,2,0,459,0,0,0
674,33,3,3,0,39,0,0,0
675,34,2,2,0,124,1,0,0
676,34,5,2,0,334,1,0,0
677,31,4,2,0,387,1,0,0
678,45,10,2,0,5287,0,0,0
679,45,3,3,0,10768,1,0,0
680,47,7,2,0,2548,1,0,0
681,33,3,3,0,980,0,0,0
682,58,6,2,0,28318,1,0,0
683,42,10,3,0,0,0,0,0
684,43,2,3,0,62,1,0,0
685,33,5,2,0,450,1,0,0
686,32,2,3,0,111,1,0,0
687,25,4,2,0,894,1,0,0
688,31,4,2,0,0,1,0,0
689,44,5,2,0,424,1,0,0
690,36,7,2,0,1598,1,0,0
691,45,5,1,0,132,0,0,0
692,41,7,2,0,663,1,0,0
693,50,7,2,0,6258,1,0,0
694,43,3,3,1,0,0,0,0
695,60,10,1,0,0,0,0,0
696,40,3,3,0,84,0,0,0
697,58,7,2,0,556,0,1,0
698,49,7,1,0,2316,0,0,0
699,25,11,2,0,3165,0,0,0
700,41,7,2,0,429,1,0,0
701,20,11,2,0,215,0,0,1
702,55,3,2,0,2437,0,0,0
703,36,5,2,1,-455,0,0,0
704,36,3,3,0,530,1,0,0
705,60,8,1,0,364,1,0,0
706,31,2,3,0,2085,1,0,0
707,35,2,3,0,0,0,0,0
708,45,1,3,0,0,1,0,0
709,32,2,2,0,1215,1,1,0
710,47,6,4,0,935,1,0,0
711,56,8,4,0,230,0,0,0
712,30,9,3,0,0,1,0,0
713,31,11,3,0,25,1,0,0
714,31,1,3,0,1340,1,0,0
715,45,7,1,0,2523,1,0,0
716,29,7,1,0,3508,1,0,0
717,48,2,2,0,0,0,0,0
718,44,1,3,0,31,0,0,0
719,47,2,3,0,714,1,0,0
720,54,7,2,0,1777,1,0,0
721,31,2,3,0,917,1,0,0
722,55,7,1,0,0,1,1,0
723,32,4,2,0,31,0,0,0
724,36,4,3,0,289,1,1,0
725,34,5,2,0,0,1,0,0
726,44,7,2,0,1697,1,0,1
727,36,4,2,0,498,1,0,0
728,47,7,2,0,912,0,0,0
729,52,7,1,0,238,1,0,0
730,39,2,2,0,0,1,0,0
731,51,7,1,0,0,0,0,0
732,46,7,2,0,572,1,0,0
733,35,6,3,0,1250,1,0,0
734,37,5,2,0,4017,0,0,1
735,55,10,2,0,962,1,0,1
736,40,4,2,0,341,0,0,1
737,31,9,2,0,8,1,0,0
738,45,1,1,0,-100,1,0,0
739,43,7,2,0,2160,0,0,1
740,58,8,2,0,225,0,0,0
741,60,8,1,0,-137,1,0,0
742,44,7,1,0,401,1,0,0
743,53,7,1,0,-1455,1,0,0
744,25,5,2,0,281,0,1,0
745,53,1,3,0,54,1,1,0
746,56,3,2,0,64,0,0,0
747,27,2,3,1,0,1,0,0
748,39,5,2,0,323,0,0,1
749,56,10,1,0,871,0,0,0
750,43,10,3,0,0,0,0,0
751,31,2,3,0,30,0,0,0
752,35,3,4,0,86,1,0,0
753,34,2,2,0,-285,1,0,0
754,56,3,2,0,23,0,0,1
755,49,2,2,0,48,0,0,0
756,51,7,1,0,602,1,0,0
757,26,11,2,0,0,1,0,0
758,28,4,2,0,897,0,0,0
